stateName	date	positiveIncrease	deathIncrease	positive	death	population	interval_start	mean_rt	std_rt	ci_lower	ci_upper
Guam	2020-03-16	3	0	3	0	164229	2020-03-10	20	10	5.44932686813162	43.8363653487116
Guam	2020-03-17	0	0	3	0	164229	2020-03-11	5.32537930968356	2.66268965484178	1.45098662776254	11.6722636519879
Guam	2020-03-18	2	0	5	0	164229	2020-03-12	4.46005928794971	1.82081157967294	1.63676315272749	8.6735754775441
Guam	2020-03-19	7	0	12	0	164229	2020-03-13	6.19898736457884	1.7192897537648	3.30069969461135	9.9954308350149
Guam	2020-03-20	2	0	14	0	164229	2020-03-14	3.69071346528333	0.952938119111053	2.06566430976775	5.77956406458415
Guam	2020-03-21	1	0	15	0	164229	2020-03-15	2.54174929231937	0.635437323079843	1.45282933622083	3.93021461302659
Guam	2020-03-22	12	1	27	1	164229	2020-03-16	3.4414104624557	0.650365445925254	2.28679225977826	4.82824755819721
Guam	2020-03-23	2	0	29	1	164229	2020-03-17	2.29843099107275	0.442333250469876	1.51468050593623	3.24300305145586
Guam	2020-03-24	3	0	32	1	164229	2020-03-18	1.99967865765147	0.365089702852454	1.34917479309492	2.77614304473124
Guam	2020-03-25	5	0	37	1	164229	2020-03-19	1.86148124628473	0.324042291958737	1.2813580377034	2.54822410172816
Guam	2020-03-26	8	0	45	1	164229	2020-03-20	1.65429788221089	0.283709746203417	1.14564937409295	2.25491842660583
Guam	2020-03-27	6	0	51	1	164229	2020-03-21	1.64921823513602	0.267538525858532	1.16708497966906	2.21340824785241
Guam	2020-03-28	4	0	55	1	164229	2020-03-22	1.59490503563818	0.249082319270697	1.14453138974381	2.11883705676236
Guam	2020-03-29	1	0	56	1	164229	2020-03-23	1.05098371561232	0.191882496203821	0.709094299542462	1.45907499740464
Guam	2020-03-30	2	0	58	1	164229	2020-03-24	1.04086038962217	0.190034238203226	0.702264134007648	1.44502083878792
Guam	2020-03-31	11	1	69	2	164229	2020-03-25	1.3393917210327	0.217278028436702	0.947833298351464	1.79759150079644
Guam	2020-04-01	8	1	77	3	164229	2020-03-26	1.3760870293164	0.214908688054459	0.987503810495979	1.82813655101348
Guam	2020-04-02	5	0	82	3	164229	2020-03-27	1.18822180142905	0.192755029246375	0.840856466063016	1.59470704333087
Guam	2020-04-03	2	1	84	4	164229	2020-03-28	1.02626997650686	0.176003848945163	0.710721792537232	1.3988744745323
Guam	2020-04-04	9	0	93	4	164229	2020-03-29	1.18063523210521	0.189052940034248	0.839547064369131	1.57896245490068
Guam	2020-04-05	19	0	112	4	164229	2020-03-30	1.68974323011578	0.223811958341995	1.27979502119619	2.15577613259441
Guam	2020-04-06	1	0	113	4	164229	2020-03-31	1.4738480261762	0.196951226933013	1.11332895991381	1.88415836766792
Guam	2020-04-07	8	0	121	4	164229	2020-04-01	1.26088607535439	0.173196022385728	0.944490194164336	1.62228651755509
Guam	2020-04-08	0	0	121	4	164229	2020-04-02	1.02039098525044	0.152110907109865	0.74428018652458	1.33938666448186
Guam	2020-04-09	7	0	128	4	164229	2020-04-03	1.0675334981438	0.155715764630463	0.784383460800395	1.3936434883023
Guam	2020-04-10	2	0	130	4	164229	2020-04-04	1.06856431793114	0.155866125149979	0.785140868407424	1.39498920278033
Guam	2020-04-11	3	1	133	5	164229	2020-04-05	0.925218231267969	0.144494811745041	0.66395257672863	1.2291557366726
Guam	2020-04-12	0	0	133	5	164229	2020-04-06	0.505852747435831	0.107848168123773	0.317015223663287	0.738101947134951
Guam	2020-04-13	0	0	133	5	164229	2020-04-07	0.53768591234884	0.117332685402378	0.332836054290359	0.790868840646444
Guam	2020-04-14	0	0	133	5	164229	2020-04-08	0.376255828185474	0.104354590862684	0.200340382089472	0.606686041721697
Guam	2020-04-15	2	0	135	5	164229	2020-04-09	0.499039100277236	0.128851341632005	0.279308396145611	0.781482626032933
Guam	2020-04-16	0	0	135	5	164229	2020-04-10	0.300546265452765	0.106259151180971	0.129754545277795	0.541835152224657
Guam	2020-04-17	1	0	136	5	164229	2020-04-11	0.304464681682788	0.115076832962157	0.122410592945828	0.568021228744398
Guam	2020-04-18	0	0	136	5	164229	2020-04-12	0.204417685320318	0.102208842660159	0.0556969392468642	0.448046416871971
Guam	2020-04-19	0	0	136	5	164229	2020-04-13	0.243238618200729	0.121619309100364	0.066274336876422	0.533134846718146
Guam	2020-04-20	0	0	136	5	164229	2020-04-14	0.288427474976815	0.144213737488408	0.078586779444926	0.632180608484502
Guam	2020-04-21	0	0	136	5	164229	2020-04-15	0.335864714684184	0.167932357342092	0.0915118306892942	0.736154417031833
Guam	2020-04-22	0	0	136	5	164229	2020-04-16	0.19311345835951	0.136551835944395	0.0233869357131934	0.537979661985058
Guam	2020-04-23	3	0	139	5	164229	2020-04-17	0.57217584996419	0.25588481912073	0.18578394103426	1.17199794106655
Guam	2020-04-24	2	0	141	5	164229	2020-04-18	0.761700816881944	0.310963056336981	0.27953077526194	1.48129634607831
Guam	2020-04-25	0	0	141	5	164229	2020-04-19	0.792886698217845	0.323694639078972	0.290975444079201	1.54194421601392
Guam	2020-04-26	0	0	141	5	164229	2020-04-20	0.824569132582832	0.336628938746212	0.302602339106679	1.60355774355592
Guam	2020-04-27	0	0	141	5	164229	2020-04-21	0.859684449834923	0.350964706983474	0.31548904165116	1.67184727401728
Guam	2020-04-28	0	0	141	5	164229	2020-04-22	0.893839489898023	0.364908443699959	0.328023339391608	1.73826933229042
Guam	2020-04-29	0	0	141	5	164229	2020-04-23	0.925781050500884	0.377948531210825	0.339745329181437	1.80038678833142
Guam	2020-04-30	4	0	145	5	164229	2020-04-24	1.11417910466112	0.421120118131131	0.447957786419104	2.07865615339357
Guam	2020-05-01	0	0	145	5	164229	2020-04-25	0.793946555546128	0.355063693740591	0.257792285482108	1.6262548104314
Guam	2020-05-02	0	0	145	5	164229	2020-04-26	0.835370937554057	0.373589240559721	0.271242669563895	1.711105106763
Guam	2020-05-03	0	0	145	5	164229	2020-04-27	0.893400064653368	0.399540655133528	0.290084569179132	1.82996719695177
Guam	2020-05-04	0	0	145	5	164229	2020-04-28	0.937494492444155	0.419260282727359	0.304401909858812	1.92028659541388
Guam	2020-05-05	0	0	145	5	164229	2020-04-29	0.97450311460018	0.435811041706254	0.316418508736281	1.99609201252697
Guam	2020-05-06	4	0	149	5	164229	2020-04-30	1.81107572686981	0.603691908956602	0.82813914707499	3.17203659719421
Guam	2020-05-07	0	0	149	5	164229	2020-05-01	0.897107601941992	0.401198716214823	0.291288396444919	1.83756141133353
Guam	2020-05-08	2	0	151	5	164229	2020-05-02	1.2672356929967	0.478970070881981	0.509494473133869	2.36420451615698
Guam	2020-05-09	0	0	151	5	164229	2020-05-03	1.26731257149823	0.478999128224297	0.509525382278749	2.36434794369893
Guam	2020-05-10	0	0	151	5	164229	2020-05-04	1.22500445481054	0.463008163196422	0.49251532508086	2.2854162650097
Guam	2020-05-11	0	0	151	5	164229	2020-05-05	1.20191482641807	0.454281103969083	0.48323209693499	2.24233935041241
Hawaii	2020-03-08	0	0	1	0	1415872	2020-03-02	5.21231403354432	3.68566259879299	0.631235410804676	14.5205775182476
Hawaii	2020-03-09	0	0	1	0	1415872	2020-03-03	3.43785639752253	2.43093157143374	0.416340358890843	9.5772549381267
Hawaii	2020-03-10	2	0	3	0	1415872	2020-03-04	5.6345878448971	2.81729392244855	1.53523554670228	12.3499925679159
Hawaii	2020-03-11	-1	0	2	0	1415872	2020-03-05	3.41196747263421	1.70598373631711	0.929646301090839	7.47841263441568
Hawaii	2020-03-12	0	0	2	0	1415872	2020-03-06	2.43610115130762	1.21805057565381	0.663755572865349	5.33949100475689
Hawaii	2020-03-13	0	0	2	0	1415872	2020-03-07	2.04456676772861	1.0222833838643	0.557075631053626	4.48131879049928
Hawaii	2020-03-14	2	0	4	0	1415872	2020-03-08	2.27988883446326	1.01959728300052	0.740273698746809	4.66993673364364
Hawaii	2020-03-15	2	0	6	0	1415872	2020-03-09	2.73269433155708	1.03286137292227	1.09868485111886	5.09822151920767
Hawaii	2020-03-16	2	0	8	0	1415872	2020-03-10	2.74885749808016	0.916285832693388	1.25695268845842	4.81452898684276
Hawaii	2020-03-17	2	0	10	0	1415872	2020-03-11	2.10075137259139	0.700250457530463	0.960597298115913	3.67939348785988
Hawaii	2020-03-18	5	0	15	0	1415872	2020-03-12	2.73022602058521	0.72968359696322	1.49263997143578	4.33528609883348
Hawaii	2020-03-19	10	0	25	0	1415872	2020-03-13	3.61186606970967	0.737269074171703	2.31419074296618	5.19375699286083
Hawaii	2020-03-20	11	0	36	0	1415872	2020-03-14	3.52401814121062	0.595667785156926	2.45460775563159	4.78376321317985
Hawaii	2020-03-21	0	0	36	0	1415872	2020-03-15	2.20928520568021	0.384587189942413	1.5207702798659	3.02434086829616
Hawaii	2020-03-22	17	0	53	0	1415872	2020-03-16	2.55375019780798	0.368602091036874	1.88293379981612	3.32519750349861
Hawaii	2020-03-23	3	0	56	0	1415872	2020-03-17	2.0316177339024	0.2902311048432	1.50300198375538	2.63865832064355
